Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-12-12T10:16:00.000+00:00,S3A,3.05474,0,57.22395,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161212T101635_sui_geneva.tif
2016-12-16T10:12:00.000+00:00,S3A,8.77126,4.25807,11.44953,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161216T101251_sui_geneva.tif
2016-12-14T09:24:00.000+00:00,S3A,12.31255,8.63384,14.68656,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161214T092413_sui_geneva.tif
2016-12-17T09:46:00.000+00:00,S3A,9.4863,3.71154,12.92917,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161217T094640_sui_geneva.tif
2016-12-18T09:20:00.000+00:00,S3A,12.71226,9.18875,16.31544,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161218T092029_sui_geneva.tif
2016-12-24T10:05:00.000+00:00,S3A,6.0948,1.87135,19.97889,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161224T100522_sui_geneva.tif
2016-12-25T09:39:00.000+00:00,S3A,8.38727,7.02882,9.59619,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161225T093911_sui_geneva.tif
2016-12-27T10:27:00.000+00:00,S3A,4.15801,0.56245,10.51947,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161227T102748_sui_geneva.tif
2016-12-28T10:01:00.000+00:00,S3A,5.65211,1.73837,17.80119,20,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161228T100138_sui_geneva.tif
2016-12-29T09:35:00.000+00:00,S3A,9.25554,2.49166,18.217,19,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161229T093527_sui_geneva.tif
2016-12-31T10:24:00.000+00:00,S3A,5.28548,2.21383,12.25236,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161231T102404_sui_geneva.tif
2017-01-01T09:57:00.000+00:00,S3A,6.50633,2.27478,10.84054,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20170101T095752_sui_geneva.tif
2017-01-02T09:31:00.000+00:00,S3A,7.79623,2.21231,11.67397,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20170102T093141_sui_geneva.tif
2017-01-05T09:54:00.000+00:00,S3A,6.16615,0,55.38865,13,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20170105T095410_sui_geneva.tif
2017-01-05T09:54:00.000+00:00,S3A,5.54086,0.47962,42.24304,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20170105T095407_sui_geneva.tif
